c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,d1,d2,d3,,ISI_EH_16,ISI_EW_16,EH_16,EW_16
1.108368869,44.40648987,32.00183,0.865116629,28.34809425,6.738708758,4.26763419,18.22009309,43.96767474,0.253881673,-0.032322194,1,1,1,,0.38132,6.84E-11,0.248225,5.60E-11
1.135188618,34.08904499,46.04987898,0.85136938,36.72748016,9.338438419,4.602820846,14.52696489,41.98101489,0.280074457,0.18730463,1,1,1,,0.339921,6.47E-11,0.214076,5.61E-11
1.098009087,43.84645231,46.02222644,0.894730333,27.36070738,6.312438266,4.252847378,27.80656506,40.98346834,0.242110763,0.183155812,1,-1,0,,0.333182,6.21E-11,0.172725,4.76E-11
1.119983197,43.83754228,37.0482501,0.884325046,39.35401075,6.146306219,4.775129883,29.7994996,47.48165654,0.228044399,0.115711731,1,0,1,,0.359975,6.74E-11,0.223891,5.31E-11
1.07698927,38.95787052,46.53752805,0.864680707,30.60440542,7.040228577,4.117430262,24.21903959,42.11628116,0.226554666,-0.003370736,-1,0,-1,,0.316862,6.38E-11,0.166109,4.54E-11
1.072002924,41.48235211,34.3476572,0.879465277,37.19613376,6.818675431,4.472650389,24.49920284,44.1417927,0.204995346,0.014358562,1,0,0,,0.360099,6.56E-11,0.232618,5.38E-11
1.133046133,40.29778224,47.1135161,0.879327752,40.45443064,7.099797633,4.225348713,26.5330432,43.97676837,0.21653542,0.171003432,1,-1,-1,,0.321149,5.92E-11,0.174299,4.47E-11
1.101443255,45.01624206,43.61596777,0.894165305,35.97875531,12.00753947,4.414008508,16.85870205,48.95886218,0.242809119,0.185936019,-1,1,1,,0.316203,6.05E-11,0.176998,4.82E-11
1.133010818,42.4339144,33.83593557,0.897474463,33.19859414,10.62711692,4.467323122,16.26648564,49.03379521,0.257367949,-0.198851869,1,-1,1,,0.310271,6.58E-11,0.176647,4.86E-11
1.12838116,36.53289804,40.43292964,0.894297105,31.71631616,13.26828121,4.661024104,12.28478237,49.29437234,0.269089692,0.19892914,0,-1,0,,0.377995,6.39E-11,0.228805,5.27E-11
1.08390072,32.74271499,46.92152741,0.884840908,27.05600276,12.04370442,4.77848857,28.61444164,47.11524759,0.212427096,-0.192047946,0,-1,0,,0.299481,6.64E-11,0.166114,5.48E-11
1.069287769,30.56612976,35.93937708,0.893001397,34.62129703,10.42257583,4.857827803,14.23511967,42.79183679,0.258575927,0.187838299,1,0,0,,0.367447,6.58E-11,0.229079,5.31E-11
1.12276969,30.37294579,44.81012276,0.861648714,38.91368313,9.102885153,4.877187669,25.44818957,45.56240234,0.213645523,-0.176032924,0,-1,1,,0.30053,6.89E-11,0.173049,5.49E-11
1.078801015,30.89103757,33.71990607,0.861285467,37.40782369,10.47773586,4.111300382,13.29553703,49.6727633,0.256810046,-0.118682706,-1,0,0,,0.31616,6.57E-11,0.17966,5.28E-11
1.091899244,44.87651708,35.1268717,0.879067946,41.52031983,12.77463041,4.315862983,20.88785486,46.19955718,0.28289809,-0.137283442,1,-1,-1,,0.28546,6.05E-11,0.172286,4.83E-11
1.06852429,31.40044287,39.78152177,0.880316473,35.10162299,8.538899275,4.989754539,22.43541395,43.80141173,0.255094822,0.098133772,0,0,1,,0.360399,6.61E-11,0.22651,5.51E-11
1.133589957,35.29839115,33.06135735,0.86850421,36.07548011,7.681392079,4.777479998,13.19765666,42.60315099,0.280475456,-0.122626287,1,-1,1,,0.332156,6.43E-11,0.202357,4.95E-11
1.130612756,40.49340618,46.79692753,0.863164839,27.05537745,11.88052771,4.794960227,28.34068535,49.31972069,0.201395157,-0.106255166,0,0,1,,0.332523,6.87E-11,0.194794,5.66E-11
1.128344504,48.98032641,47.20281791,0.877832659,40.6497016,11.13252967,4.451006943,20.74783201,46.04310483,0.254954792,0.170472571,-1,1,1,,0.310827,5.45E-11,0.172917,4.41E-11
1.158540011,37.89751226,47.41220046,0.858697783,28.02127231,7.080633264,4.555095949,12.38744649,49.47970211,0.282711547,-0.193992408,0,0,-1,,0.326648,6.81E-11,0.200277,5.40E-11
1.084286295,36.64127149,34.09594952,0.890474535,31.51578644,13.52085986,4.623812762,27.81897572,48.44734445,0.290539232,-0.016047894,1,-1,0,,0.350164,6.54E-11,0.207521,5.10E-11
1.12130135,45.97207182,36.57150163,0.874512676,35.58576492,6.124266204,4.634133267,19.80617428,48.07360529,0.23152448,0.157155483,-1,0,0,,0.371226,6.87E-11,0.200331,5.10E-11
1.12445239,33.68020403,44.60686774,0.880601559,26.86254835,9.36154944,4.711161953,28.534832,40.00402025,0.297675915,-0.049367874,0,-1,0,,0.338973,6.71E-11,0.19881,5.20E-11
1.164045021,42.09432202,45.26153293,0.878735575,36.04921917,8.284610254,4.628150007,25.50039175,48.58313836,0.275508219,0.079222899,-1,-1,1,,0.321462,6.22E-11,0.149088,4.29E-11
1.15311461,36.45361994,42.73262065,0.872543697,32.11364403,9.286490799,4.461331625,17.71291103,46.21919368,0.243024727,0.189520831,0,0,1,,0.377351,7.13E-11,0.21766,5.80E-11
1.134446757,33.97139777,38.82721615,0.867167312,38.76222086,13.03998631,4.91345776,23.92895662,42.70208262,0.22523667,0.141959177,0,1,1,,0.36521,6.27E-11,0.238991,5.51E-11
1.119438133,46.04322168,41.15981628,0.886657126,34.30418604,12.16707128,4.611972192,20.38277781,43.42688908,0.206820935,-0.048830328,1,0,0,,0.316428,6.75E-11,0.198199,5.59E-11
1.074629278,49.65634227,34.90580562,0.890592935,39.99938632,11.50730602,4.612544971,14.89748586,44.66880023,0.234517205,-0.109984017,0,0,-1,,0.312658,6.35E-11,0.202687,5.48E-11
1.125917855,36.24539675,46.66088886,0.895481776,30.1138927,6.887130406,4.273666459,20.99251507,47.28585668,0.220819444,-0.100786577,1,-1,1,,0.318822,6.24E-11,0.189306,4.98E-11
1.151833855,38.31697437,41.86696107,0.861683307,27.63147615,10.12685614,4.529426888,14.74808959,46.21806232,0.254401012,0.061654939,-1,0,0,,0.369024,6.61E-11,0.208571,5.31E-11
1.081121224,45.03055634,35.55278624,0.875967591,38.56473645,6.178643424,4.391926214,27.71260278,48.44709608,0.253844059,0.14664331,0,-1,-1,,0.371821,6.55E-11,0.221714,5.13E-11
1.161647266,46.52813995,45.6658471,0.85493717,36.42086932,11.62813591,4.649216731,26.39307471,40.3457122,0.277023873,0.09269144,1,0,1,,0.311023,6.61E-11,0.181067,5.43E-11
1.092636509,35.14138598,42.11685308,0.867264873,38.74541885,9.569169856,4.804474473,29.82849211,43.0024834,0.214300583,0.160523375,-1,1,1,,0.324524,6.19E-11,0.176264,4.86E-11
1.120822606,49.49480742,42.1856704,0.899695651,34.73713287,10.21140747,4.221885113,18.40269308,40.26218567,0.216039518,0.098254877,1,1,0,,0.335416,6.47E-11,0.211869,5.47E-11
1.069706639,37.33086194,45.79754005,0.884633886,37.05507427,7.509094408,4.497713853,22.46839333,49.89751708,0.220390623,-0.100906839,0,-1,-1,,0.313809,6.45E-11,0.181721,5.14E-11
1.092883978,45.00344827,39.31160524,0.852846472,34.13625985,7.695681317,4.81874382,17.35196487,40.27606012,0.259343245,0.137536172,1,-1,0,,0.336629,6.36E-11,0.196474,5.28E-11
1.104768281,44.99716621,40.17826365,0.87704759,41.35094914,12.43168713,4.12909076,24.76897052,44.65001482,0.294754894,-0.111426906,0,-1,-1,,0.309957,6.38E-11,0.194505,5.17E-11
1.093373871,31.6294793,38.85790126,0.855450938,36.14058817,12.4237059,4.727120447,25.79180486,43.4245412,0.284585148,-0.02849249,0,0,0,,0.333621,6.77E-11,0.208622,5.94E-11
1.149067655,42.52992317,34.29476878,0.853919345,26.29332229,6.533799981,4.512725432,14.04015461,40.27783349,0.275486148,-0.042059808,0,-1,0,,0.38299,7.02E-11,0.230317,5.70E-11
1.141360517,39.04809653,39.20138795,0.873903625,33.58406282,12.42530674,4.462153268,28.28435089,40.37061048,0.277387434,-0.149743448,0,-1,0,,0.325232,6.53E-11,0.195117,5.44E-11
1.128518025,30.20728523,40.61803652,0.850150898,41.21910057,13.24321627,4.816370248,28.47493776,41.45558231,0.215773007,-0.124947331,1,-1,-1,,0.293986,6.40E-11,0.167762,4.84E-11
1.128916258,48.11618992,47.83928285,0.885556123,37.70880655,13.27434564,4.460786359,16.49731224,41.73430171,0.211945705,0.125044235,0,-1,1,,0.311563,6.29E-11,0.184888,5.30E-11
1.081345907,35.28594965,45.10542686,0.865529363,41.71867919,8.133109617,4.58028801,17.6604062,49.10772831,0.236655664,-0.026563069,-1,1,0,,0.301943,6.19E-11,0.167425,5.02E-11
1.117895938,48.77772955,32.4951841,0.885843933,40.25630327,6.218297788,4.569846123,17.86781661,48.59489321,0.255851655,0.076091147,-1,1,1,,0.353744,6.46E-11,0.210499,5.08E-11
